DBA,ZIPCODE
Dunkin,11358
Unidentified Flying Chicken,11372
Subway,10032
Dunkin,11211
The Hatch-Chicken & Wraps,11206
Dunkin',11226
Chick-Fil-A,10016
Burger King,10471
"Dunkin', Baskin Robbins",11435
Dunkin' / Popeyes,11221
Subway,11106
Dunkin',11226
Subway,10010
Bb.q Chicken 3rd Avenue,10016
Dunkin,11105
Papa John's,11236
Dunkin,11101
Mad For Chicken,11361
Chicken Feastin,11221
Burger King,10451
Starbucks #50611,10023
Subway,11217
Subway,10462
Starbucks,10039
Chicken Spot,10454
Dunkin',10016
Taco Bell,10451
Wendy's,10004
Wendy's,10452
Panda Express #2622,10036
Dunkin' Donuts,10451
Taco Bell,11226
Subway,11372
"Dunkin', Baskin Robbins",11364
Kennedy Fried Chicken,10456
Popeyes,10003
Dunkin,10475
Dunkin,11355
Popeyes,10002
Dunkin Donuts,10007
Koo Koo Chicken,11214
Popeyes,11236
Tex*S Chicken & Burgers,11214
Chipotle Mexican Grill #2308,10306
Starbucks,11430
Subway,10018
Mad For Chicken,10011
375 Chicken N Fries,10036
Papa Chicken,11355
Taco Bell,11374
Starbucks,10019
Turntable Chicken & Rock,10001
Dunkin,10314
Starbucks,10013
Kfc,10027
Texas Fried Chicken,10026
Dunkin,10309
Popeyes,11368
Dunkin' Donuts,10451
Dominos,10314
Wendy's,11214
Dunkin,10310
Rutland Road Jerk Chicken,11212
Kew Gardens Chicken,11415
Dunkin',11104
Papa John's Pizza,10472
Dunkin',10022
Subway,10305
Popeyes,11234
Kfc,11212
Kfc,11435
Chick-Fil-A,10075
Subway,10002
Starbucks,10011
Dunkin,10461
Popeyes,11203
Papa John's Pizza,10472
"Burger King, Popeyes",11234
Dunkin,11430
Chipotle Mexican Grill,10065
Subway,10466
Taco Bell,10466
Starbucks,10007
Kfc,11421
Subway,10010
Dunkin,10475
Dunkin',11209
Starbucks,10036
Subway,10028
Chipotle Mexican Grill#2964,10018
Chipotle Mexican Grill,10019
Dunkin,11379
Texas Chicken & Burgers,11224
Wendy's,11234
Topaze Restaurant & Jerk Chicken,11234
Wendy's,10003
Little Caesars,10468
Dunkin',10301
Popeyes Louisiana Kitchen,10001
Panera Bread #9331,10016
Dunkin,11422
Little Caesars,11207
Dunkin,10460
Starbucks,10038
Popeyes,11216
Dunkin,11358
Chipotle Mexican Grill #2407,11229
Unidentified Flying Chicken,11372
Dunkin,10312
Dunkin' / Baskin Robbins,11222
Starbucks Reserve Roastery,10011
Tex's Chicken & Burgers,11368
Starbucks,10003
Jj Fish & Chicken,10303
Texas Chicken & Burgers,10453
Chipotle Mexican Grill,11372
Texas Chicken & Burgers,11435
Kennedy Fried Chicken & Pizza,10456
Dunkin',11236
Starbucks,10019
Taco Bell,10031
Dunkin,10468
Nelly's Chicken & Pizza,10032
Taco Bell,11372
Burger King,10472
Crown Fried Chicken,11432
U.s Kennedy Fried Chicken,10452
Chicken Rice,10012
Rock 'N' Hot Chicken,11207
"Dunkin', 'Baskin Robbins",11205
Starbucks,10001
Chipotle Mexican Grill,10007
Burger King,11412
Dunkin' / Baskin Robbins,10026
Papa John's,10462
Mad For Chicken,11104
Dunkin',10021
Popeyes,10002
Subway,10010
Panera Bread #6283,10019
Chipotle Mexican Grill,11373
Kennedy Chicken,10462
Popeyes,10461
Dunkin,11218
Dunkin,11411
Shake Shack,11373
Little Caesars,10034
Crown Fried Chicken & Pizza,11234
Taco Bell @ D'angelo Center,11432
Chipotle Mexican Grill # 3265,11234
Crown Fried Chicken & Pizza,11234
Dunkin Donuts,10002
Dunkin,10454
Dunkin,11101
Starbucks,10039
Crown Fried Chicken,11212
Papa John's Pizza,10031
Sabba's Chicken,10472
Starbucks,10306
Dunkin,10314
Five Star Kennedy Pizza Chicken & Waffles,10454
Five Star Kennedy Pizza Chicken & Waffles,10454
Popeyes,11215
